Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time
conference,ekaw-iasted,HAN,ALL,0.18181818181818182,0.8,0.5,0.2962962962962963,8,36,2,44,0
conference,ekaw-iasted,HAN,CLASSES,0.18181818181818182,0.8,0.5,0.2962962962962963,8,36,2,44,-
conference,ekaw-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,ekaw-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-ekaw,HAN,ALL,0.22641509433962265,0.5217391304347826,0.21428571428571427,0.3157894736842105,12,41,11,53,0
conference,edas-ekaw,HAN,CLASSES,0.22641509433962265,0.631578947368421,0.3,0.3333333333333333,12,41,7,53,-
conference,edas-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,4,0,-
conference,edas-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-ekaw,HAN,ALL,0.6,0.5454545454545454,0.16666666666666666,0.5714285714285713,6,4,5,10,0
conference,cmt-ekaw,HAN,CLASSES,0.6,0.75,0.3333333333333333,0.6666666666666665,6,4,2,10,-
conference,cmt-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,3,0,-
conference,cmt-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,ALL,0.16129032258064516,0.5263157894736842,0.25,0.2469135802469136,10,52,9,62,0
conference,edas-iasted,HAN,CLASSES,0.16129032258064516,0.5263157894736842,0.25,0.2469135802469136,10,52,9,62,-
conference,edas-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,edas-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,ALL,0.5454545454545454,0.6,0.2,0.5714285714285713,12,10,8,22,0
conference,confOf-ekaw,HAN,CLASSES,0.5454545454545454,0.6,0.2,0.5714285714285713,12,10,8,22,-
conference,confOf-ekaw,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-ekaw,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,ALL,0.3333333333333333,0.7777777777777778,0.6,0.4666666666666666,7,14,2,21,0
conference,confOf-iasted,HAN,CLASSES,0.3333333333333333,0.7777777777777778,0.6,0.4666666666666666,7,14,2,21,-
conference,confOf-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,confOf-iasted,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-sigkdd,HAN,ALL,0.6428571428571429,0.75,0.3333333333333333,0.6923076923076924,9,5,3,14,0
conference,cmt-sigkdd,HAN,CLASSES,0.6428571428571429,0.9,0.5,0.75,9,5,1,14,-
conference,cmt-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,2,0,-
conference,cmt-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,iasted-sigkdd,HAN,ALL,0.21818181818181817,0.8,0.25,0.34285714285714286,12,43,3,55,0
conference,iasted-sigkdd,HAN,CLASSES,0.21818181818181817,0.8,0.25,0.34285714285714286,12,43,3,55,-
conference,iasted-sigkdd,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,iasted-sigkdd,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,cmt-edas,HAN,ALL,0.6666666666666666,0.6153846153846154,0.0,0.64,8,4,5,12,0
conference,cmt-edas,HAN,CLASSES,0.6666666666666666,1.0,0.0,0.8,8,4,0,12,-
conference,cmt-edas,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,5,0,-
conference,cmt-edas,HAN,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-
conference,conference-iasted,HAN,ALL,0.10416666666666667,0.35714285714285715,0.1,0.16129032258064516,5,43,9,48,0
conference,conference-iasted,HAN,CLASSES,0.10416666666666667,0.38461538461538464,0.1111111111111111,0.16393442622950818,5,43,8,48,-
conference,conference-iasted,HAN,PROPERTIES,0.0,0.0,0.0,0.0,0,0,1,0,-
